LGA,Venue Count,Avg Frequency,Total Capacity,Avg Capacity,LGA Name,Total Revenue (AUD),Population,Venues Per 10k Population,Total Capacity Per Population,Revenue Per Capita,Frequency Weighted Venue Density,Gig Density Score
Indigo Shire Council,16,1.36875,6015.0,375.9375,Indigo Shire Council,42800000,17662,9.05899671611369,0.3405616577963991,2423.281621560412,12.399501755180614,12.399501755180612
Kingston City Council,36,1.213888888888889,7879.0,218.86111111111111,Kingston City Council,253800000,163724,2.198822408443478,0.048123671544794897,1550.169797952652,2.6691260902494442,2.6691260902494442
Knox City Council,23,2.3304347826086955,12418.0,539.9130434782609,Knox City Council,191900000,161766,1.421806807363723,0.07676520406018571,1186.2814188395585,3.3134280380302408,3.3134280380302408
Latrobe City Council,39,1.3025641025641026,13955.0,357.8205128205128,Latrobe City Council,176100000,78154,4.9901476571896515,0.17855771937456816,2253.2435959771733,6.499987204749598,6.499987204749598
Loddon Shire Council,12,1.2750000000000001,1869.0,155.75,Loddon Shire Council,33400000,7747,15.48986704530786,0.24125467923066993,4311.346327610688,19.749580482767527,19.749580482767524
Macedon Ranges Shire Council,26,0.7230769230769231,5464.0,210.15384615384616,Macedon Ranges Shire Council,126900000,52920,4.91307634164777,0.10325018896447467,2397.9591836734694,3.5525321239606957,3.552532123960695
Manningham City Council,15,0.43333333333333335,4931.0,328.73333333333335,Manningham City Council,169700000,129514,1.1581759500903377,0.038073104065969705,1310.283058202202,0.5018762450391464,0.5018762450391463
Mansfield Shire Council,19,1.3789473684210527,6359.0,334.6842105263158,Mansfield Shire Council,29900000,10546,18.016309501232694,0.6029774322017827,2835.1981794045137,24.843542575384035,24.84354257538403
Maribyrnong City Council,41,2.1609756097560973,10069.0,245.58536585365854,Maribyrnong City Council,160300000,91762,4.468080469039472,0.1097295176652645,1746.9104858220178,9.655412916021882,9.65541291602188
Maroondah City Council,19,3.473684210526316,7375.0,388.1578947368421,Maroondah City Council,161800000,117434,1.6179300713592315,0.0628012330330228,1377.7951870838087,5.620178142616278,5.620178142616278
Melbourne City Council,230,3.000434782608696,168257.0,731.5521739130435,Melbourne City Council,519200000,177396,12.965343074251956,0.948482491149744,2926.7852713702678,38.90166632844033,38.90166632844033
Melton City Council,5,2.2,1417.0,283.4,Melton City Council,121600000,206070,0.24263599747658565,0.006876304168486436,590.0907458630562,0.5337991944484883,0.5337991944484884
Merri-Bek City Council,76,3.9921052631578946,18882.0,248.44736842105263,Merri-Bek City Council,248400000,181223,4.193728169161751,0.10419207275014761,1370.6869437102355,16.741804296364148,16.741804296364148
Mildura Rural City Council,27,2.088888888888889,7344.0,272.0,Mildura Rural City Council,147600000,57554,4.6912464815651385,0.12760190429857177,2564.5480765889424,9.799492650380513,9.799492650380513
Mitchell Shire Council,22,1.1681818181818182,5517.0,250.77272727272728,Mitchell Shire Council,121600000,53723,4.095080319416264,0.10269344601008878,2263.462576550081,4.783798373136273,4.783798373136273
Moira Shire Council,20,0.915,4679.0,233.95,Moira Shire Council,79200000,30775,6.498781478472786,0.15203899268887083,2573.5174654752236,5.9463850528026,5.946385052802599
Monash City Council,26,1.1615384615384614,11858.0,456.0769230769231,Monash City Council,216800000,203560,1.2772646885439183,0.05825309491059147,1065.0422479858519,1.4835920613087048,1.483592061308705
Moonee Valley City Council,33,2.003030303030303,8885.0,269.24242424242425,Moonee Valley City Council,200600000,126486,2.608984393529719,0.07024492829245925,1585.94627073352,5.225874800373163,5.225874800373164
Moorabool Shire Council,17,1.7294117647058822,2619.0,154.05882352941177,Moorabool Shire Council,75800000,39092,4.3487158497902385,0.06699580476823902,1939.0156553770591,7.520720351990176,7.520720351990176
Mornington Peninsula Shire Council,83,1.7072289156626506,30239.0,364.32530120481925,Mornington Peninsula Shire Council,123700000,170243,4.875384009915239,0.1776225747901529,726.6084361765242,8.323396556686617,8.323396556686617
Mount Alexander Shire Council,20,2.71,2603.0,130.15,Mount Alexander Shire Council,48800000,20576,9.720062208398135,0.1265066096423017,2371.6951788491447,26.341368584758946,26.341368584758946
Moyne Shire Council,19,1.5,2983.0,157.0,Moyne Shire Council,57500000,17610,10.789324247586597,0.1693923906871096,3265.19023282226,16.1839863713799,16.183986371379895
Murrindindi Shire Council,15,3.2666666666666666,3833.0,255.53333333333333,Murrindindi Shire Council,40200000,15482,9.688670714377986,0.2475778323214055,2596.5637514533005,31.649657666968093,31.64965766696809
Nillumbik Shire Council,11,3.790909090909091,2533.0,230.27272727272728,Nillumbik Shire Council,89700000,63264,1.7387455741021751,0.04003856853818918,1417.8679817905918,6.591426403641883,6.591426403641882
Northern Grampians Shire Council,15,0.48666666666666664,2050.0,136.66666666666666,Northern Grampians Shire Council,42900000,11879,12.627325532452225,0.17257344894351376,3611.4151022813367,6.145298425793416,6.145298425793416
Port Phillip City Council,91,3.3000000000000003,29627.0,325.57142857142856,Port Phillip City Council,243500000,109515,8.309364014062,0.27052915125781857,2223.439711455052,27.420901246404604,27.4209012464046
